unique_id,customer_id,local_guide,date_year,text
37,2,True,2022,"We were there shortly before closing time to buy something that wasn't in stock.
The colleague was super nice and helpful and suggested another store where we …"
38,16,False,2023,"Great friendly shop, competent and well organized.
A small point is that sometimes customer advisors don't speak German."
39,62,True,2022,Great store concept! Sustainability is a big topic and is implemented there in the best possible way. Very friendly and customer oriented staff. The majority of active athletes work in the store and are happy to pass on their knowledge and …
40,61,False,2023,"An agent for Adidas, but it does not have many options, unfortunately. In general, their treatment is upscale, but the availability of product options is very few, which is not what it should be."
41,53,False,2023,"Great, clear and beautiful store. The advice was impeccable and incredibly friendly (not fake)."
42,47,False,2023,"Great shop with strong advice, a lot of selection of outdoor products and friendly staff. Thanks!"
43,11,True,2022,"Five stars are fully justified. A great, motivated team works here on solutions for customers. We look forward to our next purchase…"
44,1,True,2023,I was advised by a super friendly employee. The selection is very large and varied. I'll be coming back here soon to buy new hiking equipment.
45,37,True,2022,"Well-equipped store, very clear and modern. Friendly, courteous employees. Typically Adidas. The long wait for the first Terrex store in Munich was definitely worth it."
46,55,False,2023,Did a large purchase here. Mega service and the Terrex collection from Adidas is awesome. The staff is very nice here and gives you perfect advice!
47,27,True,2023,Super cool store. I'm totally convinced of Adidas Terrex anyway and now there is its own Terrex store. That's just great.
48,34,True,2024,Good selection and advice
49,26,False,2023,Really great advice! Super nice & very competent!
50,20,False,2023,friendly people always with professional advice!
51,36,False,2024,Give a location for each visitor
52,56,True,2023,"Really cool store!
Great products for sports and everyday life. Chic design, nice experts."
53,46,False,2023,Nice advisors and good selection.
54,35,True,2023,"Great store, I love Terrex. Ambiance is great."
55,30,False,2023,Super cool modern store with great clothes and good advice!
56,23,False,2023,"Very good service, I recommend Antonio!!! Very patient and would ask for him!"
57,19,False,2023,Very competent advice! Super friendly employee!
58,0,False,2023,"Large and varied selection, very nice and helpful service. Gladly again!"
59,31,False,2023,Competent advice with very good knowledge of the sport and own experience with the products
60,51,False,2023,"Very friendly, knowledgeable staff."
61,13,True,2022,"Poorly equipped
Unfriendly, self-centered staff (some of them can't speak German)
Definitely not a recommendation!!!"
62,24,False,2023,Top business. Very friendly service
63,59,True,2023,There are only Terrex products
64,48,False,2023,Very nice and helpful!!
65,40,True,2023,Greetings from Serbia for a seller from Greece
66,50,False,2023,Very nice advice!
67,21,True,2022,Great shop
